Headline Number,Entity,Annotation
35,govt,I-GPE.ORG
35,lead,O
35,narrows,O
35,.,O
36,banyan,B-ORG.COM
36,strategic,I-ORG.COM
36,land,O
36,fund,O
36,ii,O
36,q4,O
36,results,O
36,.,O
37,excel,B-ORG.COM
37,bank,I-ORG.COM
37,na,I-ORG.COM
37,takes,O
37,union,B-ORG.COM
37,chelsea,I-ORG.COM
37,bank,I-ORG.COM
37,.,O
38,dhaka,B-GPE
38,stocks,O
38,close,O
38,record,O
38,high,O
38,ahead,O
38,weekend,O
38,.,O
39,gore,B-PER.Individual
39,calls,O
39,report,O
39,card,O
39,environmental,B-POLICY
39,laws,I-POLICY
39,.,O
40,enron,B-ORG.COM
40,oil,I-ORG.COM
40,&,I-ORG.COM
40,gas,I-ORG.COM
40,q2,O
40,shr,O
40,falls,O
40,.,O
41,railtrack,O
41,agreement,O
41,ofrail,O
41,.,O
42,rpt-forecast,O
42,-,O
42,raisio,B-ORG.COM
42,eight-month,B-TIM
42,result,O
42,.,O
43,australian,B-GPE
43,mortgage,O
43,guide,O
43,(investment),O
43,.,O
44,finnish,B-GPE
44,h1,O
44,hotel,O
44,restaurant,O
44,sales,O
44,2.1,O
44,pct,O
44,yr/yr,O
44,.,O
45,australian,B-GPE
45,broadcasting,I-ORG.MED
45,corp,I-ORG.MED
45,morning,O
45,update,O
45,.,O
46,merrill,B-ORG.COM
46,lynch,I-ORG.COM
46,pay,O
46,$30,O
46,million,O
46,end,O
46,probe,O
46,.,O
47,comm,B-ORG.COM
47,bancorp,I-ORG.COM
47,inc,I-ORG.COM
47,sets,O
47,qtly,O
47,div,O
47,$0.06,O
47,.,O
48,greek,B-GPE
48,president,I-PER.Individual
48,says,O
48,turkey,B-GPE
48,endangers,O
48,peace,O
48,.,O
49,s.asian,B-GPE
49,nations,I-GPE
49,press,O
49,closer,O
49,trade,O
49,links,O
49,.,O
50,belarus,B-GPE
50,opens,O
50,first,O
50,telecoms,O
50,satellite,O
50,link,O
50,.,O
51,peseta,O
51,debt/interbank,O
51,market,O
51,closing,O
51,report,O
51,.,O
52,rtrs-indicators-latest,O
52,australian,B-GPE
52,quarterly,O
52,stats,O
52,.,O
53,taikan,B-ORG.COM
53,-96/97,B-TIM
53,parent,O
53,forecast,O
53,.,O
54,canadian,B-GPE
54,bonds,O
54,open,O
54,little,O
54,changed,O
54,quiet,O
54,trade,O
54,.,O
55,brazil,B-GPE
55,re-election,B-LAW
55,bill,I-LAW
55,faces,O
55,2nd,B-EVENT
55,lower,I-ORG.GOV
55,house,I-ORG.GOV
55,vote,I-EVENT
55,.,O
56,presale,O
56,-,O
56,richmond,B-GPE.LOC
56,texas,I-GPE.LOC
56,.,O
57,nymex,B-ORG.NonGov
57,crude,O
57,sharpens,O
57,gains,O
57,late,O
57,short,O
57,covering,O
57,.,O
58,china,B-GPE
58,rate,O
58,cut,O
58,may,O
58,spur,O
58,illegal,O
58,fund,O
58,raising,O
58,-,O
58,paper,O
58,.,O
59,german,B-GPE
59,1996,B-TIM
59,coffee,O
59,imports,O
59,higher,O
59,11.98,O
59,mln,O
59,t,O
59,.,O
60,vib,B-ORG.COM
60,buys,O
60,amvest,B-ORG.COM
60,property,O
60,worth,O
60,nlg,O
60,200,O
60,mln,O
60,.,O
61,la,B-ORG.COM
61,tondena,I-ORG.COM
61,acquires,O
61,alcohol,O
61,maker,O
61,.,O
62,presale,O
62,-,O
62,apple,B-GPE.LOC
62,valley,I-GPE.LOC
62,minn,I-GPE.LOC
62,.,O
63,indonesia,B-GPE.PER
63,holds,O
63,re-vote,B-LAW
63,madura,B-GPE.PER
63,turnout,O
63,low,O
63,.,O
64,argentina's,B-GPE.ORG
64,central,B-GPE.LOC
64,puerto,I-GPE.LOC
64,build,O
64,$235,O
64,mln,O
64,plant,O
64,.,O
65,argentine,B-GPE.ORG
65,gov't,B-ORG.NonGov
65,unions,I-ORG.NonGov
65,agree,O
65,two,O
65,sets,O
65,talks,O
65,.,O
66,u.s.,B-GPE.ORG
66,supreme,I-GPE.ORG
66,court,I-GPE.ORG
66,rejects,O
66,virginia,B-GPE.LOC
66,redistricting.,I-LAW
67,vsi,B-ORG.COM
67,enterprises,I-ORG.COM
67,inc,I-ORG.COM
67,q4,O
67,shr,O
67,loss,O
67,shrinks,O
67,.,O
68,standard,B-ORG.COM
68,chartered,I-ORG.COM
68,drags,O
68,ghana,B-GPE
68,bourse,O
68,index,O
68,.,O
69,lawyer,B-PER.Individual
69,says,O
69,argentina,B-GPE.ORG
69,negotiated,O
69,allow,O
69,nazis,B-PER.Group
69,.,O
70,drew,B-ORG.COM
70,buy,O
70,800000,O
70,shares,O
70,chairman,B-PER.Individual
70,.,O
71,ipo,O
71,pricing,O
71,-,O
71,puro,B-ORG.COM
71,water,I-ORG.COM
71,prices,O
71,$6,O
71,.,O
72,brazil,B-GPE
72,shares,O
72,end,O
72,cvrd,B-ORG.COM
72,plummets,O
72,.,O
73,air,B-ORG.COM
73,new,I-ORG.COM
73,zealand,I-ORG.COM
73,hold,O
73,egm,B-EVENT
73,may,B-TIM
73,1,I-TIM
73,.,O
74,soccer-dutch,B-ORG.SPO
74,first,O
74,division,O
74,results,O
74,.,O
75,jr,B-ORG.COM
75,east,I-ORG.COM
75,plans,O
75,229,O
75,bln,O
75,yen,O
75,97/98,B-TIM
75,capital,O
75,investment,O
75,.,O
76,andayani,B-ORG.COM
76,h1,O
76,net,O
76,dives,O
76,21.44,O
76,bln,O
76,rph,O
76,.,O
77,s.korea,B-GPE
77,3-yr,O
77,yields,O
77,end,O
77,higher,O
77,drying,O
77,liquidity,O
77,.,O
78,turkey,B-GPE.ORG
78,complete,O
78,russian,B-GPE
78,gas,O
78,line,O
78,study,O
78,june,B-TIM
78,.,O
79,international,O
79,speedway,O
79,november,B-TIM
79,qtr,O
79,loss.,O
80,u.s./latam,B-ORG.COM
80,spot,O
80,crude,O
80,trades,O
80,-,O
80,july,B-TIM
80,24,I-TIM
80,1144,O
80,edt,O
80,.,O
81,bulgarian,B-GPE
81,socialists,I-ORG.NonGov
81,offer,O
81,elections,B-EVENT
81,year,O
81,end,O
81,.,O
82,markborough,B-ORG.COM
82,sells,O
82,property,O
82,us$35.6,O
82,mln,O
82,.,O
83,sm,B-ORG.COM
83,development,I-ORG.COM
83,q3,O
83,net,O
83,26.04,O
83,mln,O
83,pesos,O
83,.,O
84,perstorp,B-ORG.COM
84,sells,O
84,lumac,B-ORG.COM
84,celsis,B-ORG.COM
84,.,O
85,bourse,B-ORG.NonGov
85,capitalisation,I-ORG.NonGov
85,rose,O
85,5.381,O
85,bln,O
85,.,O
86,national,B-ORG.COM
86,carlot,I-ORG.COM
86,beef,O
86,trade,O
86,weekly,O
86,review,O
86,-,O
86,usda,B-GPE.ORG
86,.,O
87,carter,B-PER.Individual
87,aide,O
87,says,O
87,china,B-GPE
87,long,O
87,road,O
87,elections,B-EVENT
87,.,O
88,estonia,B-GPE
88,gets,O
88,89.8,O
88,pct,O
88,'96,B-TIM
88,revenues,O
88,11,O
88,mos,O
88,.,O
89,forecast,O
89,-,O
89,japan,B-GPE
89,march,B-TIM
89,industry,O
89,output,O
89,seen,O
89,m/m,O
89,.,O
90,us,B-GPE
90,average,O
90,retail,O
90,beef,O
90,prices,O
90,lower,O
90,march,B-TIM
90,-ncba,B-ORG.NonGov
90,.,O
91,stanley,B-ORG.COM
91,leisure,I-ORG.COM
91,sees,O
91,hit,O
91,ascot,B-LOC
91,wins,O
91,.,O
92,world,O
92,bonds,O
92,-,O
92,gilts,O
92,bask,O
92,sterling's,O
92,glow,O
92,.,O
93,realco,B-ORG.COM
93,inc,I-ORG.COM
93,q2,O
93,march,B-TIM
93,31,I-TIM
93,net,O
93,income,O
93,falls,O
93,.,O
94,china,B-GPE
94,wholesale,O
94,vegetable,O
94,oil,O
94,prices,O
94,-,O
94,oct,B-TIM
94,23,I-TIM
94,.,O
95,cricket-jones,B-PER.Individual
95,hits,O
95,century,O
95,victoria,B-ORG.ENT
95,fight,O
95,back,O
95,.,O
96,press,O
96,digest,O
96,-,O
96,lebanon,B-GPE.LOC
96,-,O
96,july,B-TIM
96,25,I-TIM
96,.,O
97,oilex,B-ORG.COM
97,buys,O
97,40,O
97,pct,O
97,stake,O
97,funscape,O
97,.,O
98,german,B-GPE
98,grain,O
98,intervention,O
98,continues,O
98,slow,O
98,pace,O
98,.,O
99,eu's,B-ORG.NonGov
99,de,B-PER.Individual
99,silguy,I-PER.Individual
99,proposes,O
99,2001,B-TIM
99,introduction,O
99,euro,O
99,notes,O
99,.,O
100,research,O
100,alert,O
100,-,O
100,first,O
100,data,O
100,target,O
100,raised,O
100,.,O
101,nichiro,B-ORG.COM
101,corp,I-ORG.COM
101,files,O
101,15,O
101,bln,O
101,yen,O
101,shelf,O
101,registration,O
101,.,O
102,oil,O
102,leaks,O
102,add,O
102,blow,O
102,taiwan,B-GPE.ORG
102,state,I-GPE.ORG
102,utility,I-GPE.ORG
102,.,O
103,bank,B-ORG.COM
103,shares,O
103,steam,O
103,ahead,O
103,beirut,B-GPE
103,weekly,O
103,trade,O
103,.,O
104,forecast,O
104,-,O
104,table,O
104,hungarian,B-GPE
104,forecasts,O
104,1997,B-TIM
104,.,O
105,indian,B-GPE
105,91-day,O
105,treasury,O
105,bill,O
105,auction,B-EVENT
105,results,O
105,table,O
105,.,O
106,australian,B-GPE.ORG
106,budget,O
106,-,O
106,review,O
106,forecasts,O
106,.,O
107,yemen,B-GPE
107,91-day,O
107,treasury,O
107,bills,O
107,yield,O
107,avg,O
107,25.28,O
107,pct,O
107,.,O
108,technology,B-ORG.COM
108,solutions,I-ORG.COM
108,co,I-ORG.COM
108,q4,O
108,shr,O
108,rises,O
108,.,O
109,government,B-ORG.GOV
109,list,O
109,.,O
110,options,O
110,-,O
110,dlr/mark,O
110,vols,O
110,edge,O
110,buba,B-ORG.COM
110,statement,O
110,.,O
111,international,O
111,flavors,O
111,q1,O
111,net,O
111,falls,O
111,.,O
112,india's,B-GPE
112,gujral,B-PER.Individual
112,optimistic,O
112,ties,O
112,pakistan,B-GPE
112,.,O
113,simex,B-ORG.NonGov
113,brent,O
113,api,O
113,data,O
113,iraq,B-GPE
113,spurs,O
113,bears,O
113,.,O
114,hungary,B-GPE
114,apv,B-ORG.COM
114,sell,O
114,stake,O
114,agrana,B-ORG.COM
114,unit,O
114,.,O
115,u.s.,B-GPE
115,lawmakers,B-PER.Group
115,seek,O
115,ease,O
115,embargo,O
115,cuba,B-GPE
115,.,O
116,london,B-GPE
116,coal/ore,O
116,fixtures,O
116,.,O
117,slovenian,B-GPE
117,shares,O
117,fall,O
117,liquidity,O
117,dries,O
117,up,O
117,.,O
118,seagate,B-ORG.COM
118,raises,O
118,china,B-GPE
118,investment,O
118,$32,O
118,mln,O
118,.,O
119,focus,O
119,-,O
119,waigel,B-PER.Individual
119,upholds,O
119,tough,O
119,emu,B-ORG.NonGov
119,stand,O
119,despite,O
119,snags,O
119,.,O
120,iowa-minn,B-GPE.LOC
120,direct,O
120,weekly,O
120,average,O
120,hog,O
120,weights,O
120,-,O
120,usda,B-ORG.NonGov
120,.,O
121,london,B-GPE
121,currency,O
121,gold,O
121,bullion,O
121,rates,O
121,.,O
122,hk,B-GPE.ORG
122,govt,I-GPE.ORG
122,paper,O
122,yields,O
122,ease,O
122,active,O
122,buying,O
122,.,O
123,turkish,B-GPE
123,pmdeputy,B-PER.Individual
123,tight-lipped,O
123,censure,O
123,motion,O
123,.,O
124,research,O
124,alert,O
124,-,O
124,aurum,B-ORG.COM
124,software,B-ORG.COM
124,raised,O
124,.,O
125,nz,B-GPE
125,dollar,O
125,closes,O
125,firm,O
125,seen,O
125,heading,O
125,higher,O
125,.,O
126,starckjohann,B-PER.Individual
126,sells,O
126,penope,B-ORG.COM
126,stake,O
126,.,O
127,neiman,B-ORG.COM
127,marcus,I-ORG.COM
127,feb,B-TIM
127,same-store,O
127,sales,O
127,up,O
127,.,O
128,dsl,B-ORG.COM
128,bank,B-ORG.COM
128,issues,O
128,10-year,O
128,10,O
128,bln,O
128,pta,O
128,matador,O
128,.,O
129,buba,B-ORG.COM
129,holds,O
129,repo,O
129,steady,O
129,fpr,O
129,next,O
129,three,B-TIM
129,weeks,I-TIM
129,.,O
130,rolimpex,B-ORG.COM
130,june,B-TIM
130,net,O
130,falls,O
130,0.1.,O
130,[corrected,O
130,1725,O
130,gmt],O
131,toyo,B-ORG.COM
131,tagasago,B-ORG.COM
131,-,O
131,6mth,B-TIM
131,parent,O
131,results,O
131,.,O
132,rtrs,B-ORG.MED
132,-,O
132,coles,B-ORG.COM
132,myer,I-ORG.COM
132,sees,O
132,trading,O
132,improvement,O
132,.,O
133,japan,B-GPE
133,firms',O
133,copper,O
133,sales,O
133,fall,O
133,s'tomo,B-ORG.COM
133,scandal,O
133,.,O
134,australia,B-GPE
134,base,O
134,metal,O
134,producer,O
134,prices,O
134,-,O
134,may,B-TIM
134,22,I-TIM
134,.,O
135,hanoi,B-GPE.LOC
135,awaits,O
135,china's,B-GPE.ORG
135,reply,O
135,fate,O
135,patrol,O
135,boats,O
135,.,O
136,slovak,B-GPE
136,bourse,O
136,paralyzed,O
136,money,O
136,mkt,O
136,instability,O
136,.,O
137,hansa,B-ORG.COM
137,liising,I-ORG.COM
137,issues,O
137,new,O
137,30,O
137,mln,O
137,kroons,O
137,cps,O
137,.,O
138,melco,B-ORG.COM
138,-96/97,B-TIM
138,parent,O
138,forecast,O
138,.,O
139,airbus,B-ORG.COM
139,eyes,O
139,mcdonnell,B-ORG.COM
139,douglas',I-ORG.COM
139,europe,B-GPE.LOC
139,market,O
139,share,O
139,.,O
140,research,O
140,alert,O
140,-,O
140,dst,B-ORG.COM
140,systems,I-ORG.COM
140,outperform,O
140,repeated,O
140,.,O
141,singapore,B-GPE
141,changi,I-FAC
141,airport,I-FAC
141,t3,O
141,building,O
141,expected,O
141,1999,B-TIM
141,.,O
142,russian,B-GPE
142,shares,O
142,falling,O
142,downtrend,O
142,seen,O
142,.,O
143,universal,B-ORG.COM
143,foods,I-ORG.COM
143,ceo,B-PER.Individual
143,manning,I-PER.Individual
143,named,O
143,chairman,B-PER.Individual
143,.,O
144,slovak,B-GPE
144,statistical,O
144,bureau,O
144,details,O
144,h1,O
144,q2,O
144,gdp,O
144,.,O
145,guatemala,B-GPE
145,ex-ruler,B-PER.Individual
145,gets,O
145,reluctant,O
145,funeral,O
145,honors,O
145,.,O
146,european,B-GPE
146,american,B-GPE
146,retires,O
146,2.1,O
146,mln,O
146,shrs,O
146,.,O
147,ataka,B-ORG.COM
147,construction,I-ORG.COM
147,-,O
147,96/97,B-TIM
147,group,O
147,results,O
147,.,O
148,manugistics,B-ORG.COM
148,sets,O
148,1.9,O
148,mln,O
148,shr,O
148,offering,O
148,.,O
149,soccer-bosnians,B-ORG.SPO
149,ready,O
149,"""home""",O
149,world,B-EVENT
149,cup,I-EVENT
149,debut,O
149,.,O
150,reuters,B-ORG.MED
150,german,B-GPE
150,advertising,O
150,&,O
150,media,O
150,digest,O
150,-,O
150,june,B-TIM
150,26,I-TIM
150,.,O
